"date","volume","number","sentences","count","id","likely_pos","sample_type","code"
"1900 05 12",7,2,"now it is extending around its borders, property across the street is undesirable for whites, and the mongols take it.",20,"s2032",TRUE,"keyword",1
"1900 05 12",85,15,"roots general president operative plasterers’ and cement masons’ international association of the united states and canada 7th vice president of the bctda native of berkeley, california, melvin h.",28,"s12514",TRUE,"keyword",0
"1900 05 12",16,36,"advance in labor conditions must proceed with a fair degree of uniformity throughout any line of industry.",17,"s3996",FALSE,"random",0
"1900 05 12",21,46,"men and women with youth, health and good jobs, go blithely on living up to every cent they earn, making no provision for the future and saying confidently: “for me the ‘rainy day* will never come.""",36,"s5749",FALSE,"random",0
"1900 05 12",3,33,"any toiler who, possessed of the knowledge that he can be partially the means by which the union cigarmaker and his family may have a comfortable living, a pleasant home and a little of life’s happiness, deliberately ; smokes a chinese or eastern scab cigar is guilty of the grossest heartlessness and cruelty, and through his selfish indifference to the welfare of his brother toiler is unworthy of the respect or consideration of his fellow-men, i is an ulcer on labor’s cause and a scab at heart.",89,"s804",TRUE,"keyword",1
"1900 05 12",11,2,"no fair idea of france can be gleaned from the champs elysee, the rue de la paix and the boulevards des italiens, any more than could be gathered about america or new york by looking only at broadway and fifth avenue.",41,"s2444",TRUE,"keyword",0
"1900 05 12",7,2,"he is the son of white laborer who was guttered s the unequal contest; bis sons miss,] their schooling, and at working ts bad to compete wjth chinese la' a _ the competition was impos% a .",36,"s2037",TRUE,"keyword",1
"1900 05 12",1,5,"the success of the cloakmakers’ union in this fight means sanitary workshops, white labor and fair conditions ; its defeat, sweat shops with their attendant horrors and mongolian labor in the cloakmaking trade.",32,"s54",TRUE,"keyword",1
"1900 05 12",15,7,"we your committee believe that to enforce the request literally would result in serious complications, we therefore recommend that same be referred to the executive officers of the state b.",30,"s3333",FALSE,"random",0
"1900 05 12",5,16,"seven-eights of the union mechanics in the building crafts in sacramento are now at work under ""closed shop” conditions.",20,"s1401",FALSE,"random",0
"1900 05 12",5,16,"furniture handler’s union no. 1 meets second and fourth mondays of each month, friendship hall, 927 mission st.",19,"s1473",FALSE,"random",0
"1900 05 12",66,15,"anyone able to help in this respect please donate at the peninsular hospital in millbrae.",15,"s11161",FALSE,"random",0
"1900 05 12",5,38,"the better opinion is that the common law did not include labor | organizations among combinations m [restraint of trade, which were illegal, 'because during the reign of edward vi and george 111. statutes were | enacted which subjected workmen ' conspiring either treduce the time < t labor, or to their wages, to 'punishment and imprisonment.",53,"s1337",TRUE,"keyword",0
"1900 05 12",24,37,"in giving the truth about san francisco to the public, the san francisco call is to be highly commended, and, in behalf of organized labor, we take this opportunity to thank the san francisco call for telling the truth about union labor.japanese appreciate labor’s aidpresident gompers of the american federation of labor received from the japanese ambassador an expression of deep appreciation in response to mr.",68,"s6241",TRUE,"keyword",0
"1900 06 02",30,47,"47official paper of the state and local building trades councils of californiasan francisco, saturday, november 23, 1929$1.50 per yearplan full time work for convicts while army of law-abiding citizens are unemployedshall all convicts do regular, full-time work?",41,"s7759",FALSE,"random",0
"1900 06 02",45,47,"uso camp shows also provide recreational and welfare services in this country, setting up travelers aid desks, hospital show units, hospitality houses and mobile services.",25,"s9851",FALSE,"random",0
"1900 06 23",87,10,"illegal contracting activity uncovered by the labor research group on behalf of the alameda county building trades has resulted in hatch being debarred from bidding on future public works contracts in california for two years, and has cost them hundreds of thousands in penalties.",44,"s12649",TRUE,"keyword",0
"1900 06 23",23,1,"“the problem becomes moi e a question of metallurgy than design and it is only by close < :ollaboration between the foundry and the designing office, and a good deal of experimenting, that the right solution will be found.",38,"s5878",FALSE,"random",0
"1900 06 23",11,19,"nicolls is in receipt of letters from every part of the country asking for this investigation, and witnesses from the border states, have signified their willingness to come to washington and testify before a congressional committee as to the systematic persecution, in this country of the political enemies of mexico’s president by the united states officials.",57,"s2436",TRUE,"keyword",0
"1900 06 23",3,22,"soldiers, remarked the kansas city journal, are the only ones who really have pride in their profession.",17,"s684",FALSE,"random",0
"1900 06 23",34,14,"“our appeal is to the heart and conscience of the world let those who officially speak for germany be advised that the people of our beloved land will neither tolerate nor condone the persecution of the people of a noble race who, through all the centuries of recorded time, have made a distinct contribution to the advancement of the moral, spiritual and intellectual well-being of the human race it is in this spirit and in this purpose i join with vou in this most extraordinary and impressive meeting.”",89,"s8592",FALSE,"random",0
"1900 06 23",27,24,"if a porter misses his line because of “doubling,” he is not paid during the time he must wait to catch his regular run.",24,"s7038",FALSE,"random",0
"1900 10 20",47,7,"“we won’t let you wear it unless it fits” outfitters since 1965 ★ sir hxrcisci • oarlani . leikeiet nil alto »fresno • san jose • is llt« 01 ■ america s finest pure white quality toilet tissue buy the 4 -ii family pak cpmfo\ioj» ost fnew [ m abin dell milk rlzt® 6 ,«fa” sts "" habindbi m bbrn listen to budda s amateur hour every saturday 8:00 p.",65,"s9846",FALSE,"random",0
"1900 10 27",4,28,"they did it, and did it with such results that even furuseth, who during the entire controversy has befriended the union lumber company began, in the eleventh hour, to talk about settlement.japanese working women.the social condition of woman is a fairly trustworthy meas-t ure of the civilization of a state, and, judged by this standard, japan has not yet reached the summit of aa'estem culture.",69,"s1049",TRUE,"keyword",0
"1900 10 27",27,22,"for some little time, johnnie drove his car through imaginary towns, up hills and across rivers.",16,"s6966",FALSE,"random",0
"1900 10 27",27,22,"japanese scientific mission.—-a japanese scientific mission, composed of some ten persons, has arrived in para, despatched at the suggestion of the tokyo cotton spinning association, to study the prospect of the cultivation and development of that product in the amazon valley.",42,"s6983",TRUE,"keyword",0
"1900 10 27",15,22,"the poll tax is one of the earliest and crudest methods of raising taxes used by ancient and oppressive governments.",20,"s3557",FALSE,"random",0
"1901 02 02",23,17,"how the ford mind operates is shown by this story in an article by aaron hardy ulm, in forbes magazine (n.",21,"s6014",FALSE,"random",0
"1901 05 04",1,15,"he presented incidents where japanese have displaced white men and white women in employment in shops, factories and the fields.",20,"s119",TRUE,"keyword",1
"1901 07 13",36,6,"over forty public bodies were notified of commissioner nolan’s stand that such classifications are illegal in california and not one has failed to cooperate in preserving california standards and rules of fair competition in this regard, the commissioner announced.",40,"s8291",TRUE,"keyword",0
"1901 07 13",9,31,"this is the man who declared boycotting was illegal, and asked the supreme court to outlawtrade unions in the interests of “law and order.”",24,"s2168",TRUE,"keyword",0
"1901 08 03",48,5,"in spite of this fact, attorneys for the plaintiff tried for a whole week in the sonoma county superior court to find some evidence which would convict them of contempt of court.",32,"s9866",FALSE,"random",0
"1901 08 03",20,5,"these officers had the power to determine whether the workers were entitled to the insurance and other benefits.",18,"s5346",FALSE,"random",0
"1902 02 22",33,7,"the aunt agreed with me, and i asked her how she came to understand children so well, and this was her answer: “i always try to put myself in the place of the child and then intensify the feeling.",39,"s8384",FALSE,"random",0
"1902 02 22",5,10,"the worker, of brisbane, australia, says that as the whole of the chinese furniture trade bosses in melbourne conceded the demand for increased wages, “all their pig-tailed employees resumed work.",31,"s1353",TRUE,"keyword",1
"1902 02 22",38,7,"it has instigated the organization of extralegal strikebreaking, vigilante groups such as the flint alliance and the citizens’ league of anderson, resulting in illegal violence against the unionists and denial of their rights of free speech and assemblage.",38,"s8568",TRUE,"keyword",0
"1902 02 22",7,2,"since i came, a .ship landed a thousand chinese laborers and thirty-five prostitutes, shipped to the masters here for whom they must; slave in infamy.",26,"s2026",TRUE,"keyword",1
"1902 06 28",49,28,"gaffney, assemblyman, 26th district, addressed the delegates and thanked them for their support in the past election.",17,"s10399",FALSE,"random",0
"1902 06 28",20,19,"nevertheless business has co-operated with the government in a fine and patriotic spirit and has thereby gained greatly in governmental esteem and in the respect of the people at large.",31,"s5498",FALSE,"random",0
"1902 06 28",15,41,"casey did not explain to the audience how the unions came into possession of the documents, but it is supposed that these are the records which are said to have disappeared from the office of the m m.",38,"s3723",FALSE,"random",0
"1902 08 02",3,29,"george holl 3004 mission st., bat. 2#th ft 27th sts bm » oomplete (took of uni tod worfetaamen’s man'* shoes, also ladles' shoos buo by slobe shoo company and t, o.",32,"s731",FALSE,"random",0
"1902 08 16",6,45,"what further information is contained in the “returned papers” may be summed up as follows: the japanese are extremely clannish, one gang” having but little in common with other “gangs” except that' they combine to get employment from the white laborer.",41,"s1811",TRUE,"keyword",1
"1902 08 16",25,5,"lundström hats are made to retain their form and snap for the season, at least.",15,"s6382",FALSE,"random",0
"1902 09 13",1,15,"where the chinese have been competitors in boots and shoes, cigars, brooms and clothing—in the latter industry lately depriving four thousand wives and daughters of exsoldiers of the work of making the uniforms worn by our soldiers in the philippines-—so are the japanese now coming forward as formidable competitors in furniture, fancy goods, crockery and restaurant and other lines of business, and throughout our city can be seen the small cobbler shop in competition with the american shoemaker across the street, ihey have even invaded the professional line, an is evidenced by the signs of doctors and dentists, even going into the occult sciences and foretelling the futnra.",110,"s152",TRUE,"keyword",1
"1902 09 13",10,33,"the executive board of the asiatic exclusion league met at its headquarters, 815 metropolis building, saturday, august 7, and was called to order at 8:30 p, m., by the vice-president, the president being excused on account of absence from the city.",43,"s2360",TRUE,"keyword",0
"1902 09 13",11,2,"efforts to get the people to thinking abolit the church and labor as having vital relationship to each other.",19,"s2433",FALSE,"random",0
"1902 09 13",18,41,"secretary-treasurer paul scharrenberg and president daniel murphy were both re-elected bv the unanimous vote of the convention for another year.report of committee on legislationthe members of the legislative committee to this session of the state federation of labor are of the opinion that the anti-injunction bill presented by this body to the last session of the legislature by senator flaherty and receiving the endorsement of both houses of our state body, should be again presented at the next session of the legislature and vour committee recommends that this action be concurred in.",96,"s4865",FALSE,"random",0
"1902 10 18",12,11,"tveitmoe believes that when the hills pass prohibiting this class of aliens from owning any land in california, those who already have gained title to land will eventually dispose of it, for the reason that without others coming in to join their ranks they would find it quite unprofitable.",49,"s2681",TRUE,"keyword",1
"1903 01 03",1,15,"dam at the metropolitan massmeeting, may 7th: we are assembled to-night to discuss the japanese labor problem and its relation to american labor in california.",26,"s125",TRUE,"keyword",1
"1903 01 03",25,47,"new business in accordance with the request of the san francisco labor council, president flaherty appointed the following committee to represent the building trades council of san francisco and to co-operate with the labor council in making the arrangements for the theater party: f.",45,"s6429",FALSE,"random",0
"1903 01 03",20,2260,"we will try to follow with a first-aid course and still continue with our module programs.",17,"s11887",FALSE,"random",0
"1903 01 03",41,20,"nothing, she said, could induce her to run for anything, or to accept an appointive office at any time, for any reason. 4 hat disposes of rumors that the’tirst lady” planned to run for congress against congressman hamilton fish, new york republican representing the district in which the roosevelt hyde park home is located.security against the inevitablecharles evans hughes, who is now the distinguished chief justice of the united states, once said this: “as a young man i realized that there was one way a man without capital could protect his family from the vicissitudes of fortune and make proper security against the day that comes tb us all —that was through life insurance.""",116,"s9266",FALSE,"random",0
"1903 01 03",41,20,"as surprising as it may seem, on the average 24.500 people a day secure service in some form from the eighty-five welfare organizations of the chest.gret your next suit at roos bros.",35,"s9270",FALSE,"random",0
"1903 02 21",3,38,"the little more than 3,000,000 colonists rose in rebellion and gave tl.e world that magnificent sentiment which will ring down through all the ages that all men are born free and equal and to each is vouchsafed the inalienable right to enjoy life, liberty and the pursuit of happiness.",52,"s593",TRUE,"keyword",0
"1903 03 21",5,16,"after several months of agitation as to whether or hot it would be of benefit to the 450 members of the boston building laborers’ union to attach themselves to the international hod-cariers and building laborers’ union, and thus secure affiliation with the national structural building trades alliance and the american federation of labor, it was decided by the union appointing a committee to secure a charter from the international union.one hundred and ten colored waiters in memorial hall, harvard’s big eating house have threatened to strike, and 1200 crimson students are wondering where they will feed themselves in case demands of alleged “overworked” negroes be not satisfied.",110,"s1423",FALSE,"random",0
"1903 05 30",10,33,"spiers who has spent considerable time in the southern part of california, who had advised him of the inroads made by the japanese in that vicinity, giving the names of several large firms which were controlled by japanese and operated by whites.",42,"s2370",TRUE,"keyword",0
"1903 06 27",20,33,"simons• )f the american alliance for labor and democracy i.enine disconcerted his parlor proselytes when he frankly avowed his program of violent seizure of power by a minority and its maintenance through terror directed by a few autocrats presuming to speak lor the proletariat.",45,"s5561",FALSE,"random",0
"1903 08 08",49,8,"since that time he had been an active member of local no. 22, serving as business representative for a while.",20,"s9932",FALSE,"random",0
"1903 08 08",27,49,"she ate large dishes of it whenever it appeared on the table, and sundry fragments salvaged trom the kitchen after the table was cleared.",24,"s7264",FALSE,"random",0
"1903 08 08",43,27,"in the wealth of the wood since the world began, the trees have offered their gifts to man. —henry van dyke.drummond wrote:two painters each painted a picture to illustrate his conception of rest.",35,"s9382",FALSE,"random",0
"1903 10 03",46,42,"union representatives, who are experienced in civil service procedure see in the proposal an excellent opportunity to pass the buck if some future commission should take advantage of this omission and appoint three employees to do the | work which is now being handled by !",44,"s9758",FALSE,"random",0
"1903 10 03",43,27,"tell them you want to buy war savings bonds regularly, starting now.get your next suit at roos bros.",19,"s9452",FALSE,"random",0
"1903 10 03",21,30,"we want no antagonistic races; we want no hostile classes; we want no castes; we want no serfs; we want no beasts of burden; we want no anarchists; we want no aliens incapable of republican government; we want no pagans burning incense to confucius.",44,"s4992",TRUE,"keyword",1
"1903 10 31",30,47,"now we are about to adjourn, not to meet again until the result of our deliberations shall have culminated and i hope, in one of the grandest processions that has ever marched the streets of this city.",37,"s7825",FALSE,"random",0
"1903 10 31",72,9,"this was true enven though the compliance officer explained that the fair labor standards act protects workers against such vengeful acts by employers.",23,"s11743",FALSE,"random",0
"1904 04 02",49,8,"the program adopted for the conference calls for the establishment of committees at the local, state, and national level to undertake the job of organizing trade-union veterans in their fight on the law.",34,"s9962",FALSE,"random",0
"1904 04 02",32,34,"we further propose that a plan of stabilization of industry, of economic planning, of a thorough, definite and accurate survey of economic needs and of the actual adjustment in working time reqiired in order to supply all with an opportunity to work be formulated and put into effect.""",48,"s7370",FALSE,"random",0
"1904 04 02",3,4,"in our modern factory we manufacture complete outfits for ladies, children and infants employing skilled white labor exclusively 918-922 market st.",22,"s634",TRUE,"keyword",1
"1904 04 02",18,12,"fifty per cent, of the entire native american population of the pacific coast states has migrated from other sections of the country to make permanent homes here.",27,"s4634",TRUE,"keyword",0
"1904 04 02",74,9,"to not do so, is to encourage eavesdropping and invasions of privacy about which so many people are so justifiably concerned,” concluded senator moscone.there was a collective sigh of relief in the american labor camp on may 1, two and one-half years after the federal government had instituted a system of wage and price controls which was intended to relieve an in-flationary economy—a relief that never came.",71,"s11798",TRUE,"keyword",0
"1904 04 02",18,12,"in 1910, a normal year, prior to the later great rush, new york had 580,000 alien immigrants and san francisco 3000.",22,"s4638",TRUE,"keyword",1
"1904 04 02",9,23,"in many respects the russian form of labor organization resembles that of the american unions of the early period of their development.—vladimir v.",24,"s2034",FALSE,"random",0
"1904 04 02",1,14,"the citizens of this coast must at once make a decided stand for the absolute exclusion of the chinese and japanese.",21,"s06",TRUE,"keyword",1
"1904 05 14",32,34,"labor council demands that the exclusion law apply to filipinosat the regular meeting of the san francisco labor council, held august 14, the question of the present exclusion law was the subject of lengthy discussion owing to an article appearing in the christian science monitor which claimed tliat labor on the pacific coast had reversed itself regarding persons ineligible to citizenship of the united states.",65,"s8126",TRUE,"keyword",1
"1904 05 14",9,23,"poultry from texas for less than a cent and a half a pound; beef from western ranges at less than a cent a pound.”",24,"s2069",FALSE,"random",0
"1904 05 14",1,14,"japanese laborers are now flooding our shores at the rate of nearly i.oth) a week.",16,"s12",TRUE,"keyword",1
"1904 05 14",1,14,"the mass-meeting to be held monday, may 7, at the metropolitan temple, is but the signal for a general anti-asiatic crusade.",23,"s13",TRUE,"keyword",1
"1904 05 14",9,23,"that the officers of the chicago federation of labor be instructed to request the illinois state f'ederation of labor to call a conference of the centra!",27,"s2083",FALSE,"random",0
"1904 05 14",74,9,"moscone has introduced legislation designed to prohibit the use of illegally seized evidence in state unemployment hearings.",17,"s11795",TRUE,"keyword",0
"1904 06 11",25,21,"bigger, member of carpenters’ union, no. 316, of san jose, a consistent, aggressive trade unionist, representative of the law-abiding, american citizenry of san jose, was found to be elected by a handsome majority over the candidate of the industrial association, which for three years past has been engaged in an illegal conspiracy against labor, the public and the united states government.",62,"s5744",TRUE,"keyword",0
"1904 06 11",65,8,"the agreement with associated general contractors (agc) and engineering and general contractors association (egca) climaxed four weeks of spotty picketing.",20,"s11009",FALSE,"random",0
"1904 06 11",65,8,"subsistance allowances, for work in areas defined in the contract, go up to $7 a day this year, $8 in 1966, and $9 in the third year.",27,"s11028",FALSE,"random",0
"1904 06 11",18,12,"t native—well, it used to be until j folks began cornin’ here for a rest.— ijjoston transcript.shall the saloon control the labor movement?",25,"s4652",TRUE,"keyword",0
"1904 06 11",18,12,"mccarthy’s report ordered sent to state legislature.hotels in marysville were swamped when the delegates to the seventeenth annual convention of the state building trades council, which is now in session at the “hub” city, began to arrive last sunday afternoon.",42,"s4669",FALSE,"random",0
"1904 06 11",18,12,"to me there is nothing more impressive than these periodic convocations of the chosen representatives of labor.",17,"s4695",FALSE,"random",0
"1904 06 11",18,12,"in the last analysis, labor is the ultimate producer of all wealth, and labor, clarion-tongucd, demands that her sons shall be paid a “living wage.”",26,"s4697",FALSE,"random",0
"1904 06 11",18,12,"we have clasped their honest palms, and we have found them to be incomparable hosts.",15,"s4702",FALSE,"random",0
"1904 07 09",18,41,"as of june 30, 1917, there was paid the sum of $537,-783.49 for compensation and medical cost.",19,"s4851",FALSE,"random",0
"1904 07 09",5,38,"the better opinion is that the common law did not include labor | organizations among combinations m [restraint of trade, which were illegal, 'because during the reign of edward vi and george 111. statutes were | enacted which subjected workmen ' conspiring either treduce the time < t labor, or to their wages, to 'punishment and imprisonment.",53,"s1337",TRUE,"keyword",0
"1904 07 09",47,7,"the remainder, 166, concerned various other labor laws, as follows: child labor, 52; private employment agencies, 41; collective bargaining and anti-kick back, 16; weekly day of rest, 15; sanitation and ventilation, 9; misrepresentation, 6; semi-monthly pay day, 5; all other, 22.",43,"s9825",FALSE,"random",0
"1904 07 09",25,21,"elythe so-called “american plan,” branded as “illegal” by the federal courts, was repudiated at the polls by the law-abiding citizens of san jose at the municipal election held in that city last tuesday.",35,"s5741",TRUE,"keyword",0
"1904 07 09",30,49,"evans would nullify oregon’s eight-hour law applying to public work by the simple trick of ruling that when workers labor more than eight hours they are parties to an illegal contract and therefore can not collect for overtime.",40,"s7948",TRUE,"keyword",0
"1904 07 30",21,3,"and to raise the initiation fee for helpers in the kie-con yard from $loo.oo to $130.00.",19,"s11926",FALSE,"random",0
"1904 07 30",25,21,"elythe so-called “american plan,” branded as “illegal” by the federal courts, was repudiated at the polls by the law-abiding citizens of san jose at the municipal election held in that city last tuesday.",35,"s5741",TRUE,"keyword",0
"1904 07 30",35,14,"the work is intended to save millions of acres of fertile land from being transformed into washes by the invasion of gullies bearing water streams which strip the soil.",29,"s8066",TRUE,"keyword",0
"1904 07 30",15,39,"“we must remember that wisdom makes the countenance to shine; intellectuality cuts and chisels the features so that the signs of sensuality and sloth are removed, and that purity, benevolence, and unselfishness kindle an illuminating flame which adds glory to the plainest face.",43,"s3607",FALSE,"random",0
"1904 07 30",15,39,"this is the truth back of our child- i hood maxim, “handsome is as hand- i some does.”—the people’s home j journal.",24,"s3608",FALSE,"random",0
"1904 10 15",44,20,"tobriner, submitting his bill in the amount of $250.00 for legal services rendered re united states of america vs.",20,"s9611",FALSE,"random",0
"1904 10 15",20,33,"“the packers, coal mine owners, shoe makers, clothing factories, builders, in fact, every business, puts up no such weak plea of continued loss in earnings—they don’t have to.",30,"s5559",FALSE,"random",0
"1904 10 15",24,37,"59.4 per cent of the families were native white and 25 per cent colored.",15,"s6262",TRUE,"keyword",1
"1904 10 15",29,9,"during the hearing before the blouse committee on immigration it developed that there are already in california approximately 1,000,000 mexicans, the majority of them in the large cities like san francisco and los angeles; that the majority of them are objects of public charity; that 25 per cent of the white inmates of san quentin penitentiary are mexicans, and that 25 per cent of all the crimes committed in california are committed by mexicans.",76,"s6827",TRUE,"keyword",1
