"date","volume","number","sentences","id","code"
"1900 05 12",24,37,"in giving the truth about san francisco to the public the san francisco call is to be highly commended and in behalf of organized labor we take this opportunity to thank the san francisco call for telling the truth about union labor japanese appreciate labor s aidpresident gompers of the american federation of labor received from the japanese ambassador an expression of deep appreciation in response to mr","s6241",0
"1900 06 02",30,47,"47official paper of the state and local building trades councils of californiasan francisco saturday november 23 1929$1 50 per yearplan full time work for convicts while army of law abiding citizens are unemployedshall all convicts do regular full time work","s7759",0
"1900 06 02",45,47,"uso camp shows also provide recreational and welfare services in this country setting up travelers aid desks hospital show units hospitality houses and mobile services","s9851",0
"1900 06 23",87,10,"illegal contracting activity uncovered by the labor research group on behalf of the alameda county building trades has resulted in hatch being debarred from bidding on future public works contracts in california for two years and has cost them hundreds of thousands in penalties","s12649",0
"1900 06 23",23,1,"the problem becomes moi e a question of metallurgy than design and it is only by close < ollaboration between the foundry and the designing office and a good deal of experimenting that the right solution will be found","s5878",0
"1900 06 23",11,19,"nicolls is in receipt of letters from every part of the country asking for this investigation and witnesses from the border states have signified their willingness to come to washington and testify before a congressional committee as to the systematic persecution in this country of the political enemies of mexico s president by the united states officials","s2436",0
"1900 06 23",3,22,"soldiers remarked the kansas city journal are the only ones who really have pride in their profession","s684",0
"1900 06 23",34,14,"our appeal is to the heart and conscience of the world let those who officially speak for germany be advised that the people of our beloved land will neither tolerate nor condone the persecution of the people of a noble race who through all the centuries of recorded time have made a distinct contribution to the advancement of the moral spiritual and intellectual well being of the human race it is in this spirit and in this purpose i join with vou in this most extraordinary and impressive meeting","s8592",0
"1900 06 23",27,24,"if a porter misses his line because of doubling he is not paid during the time he must wait to catch his regular run","s7038",0
"1900 10 20",47,7,"we won t let you wear it unless it fits outfitters since 1965 ★ sir hxrcisci oarlani leikeiet nil alto fresno san jose is llt 01 america s finest pure white quality toilet tissue buy the 4 ii family pak cpmfo ioj ost fnew m abin dell milk rlzt® 6 fa sts habindbi m bbrn listen to budda s amateur hour every saturday 8 00 p","s9846",0
"1900 10 27",4,28,"they did it and did it with such results that even furuseth who during the entire controversy has befriended the union lumber company began in the eleventh hour to talk about settlement japanese working women the social condition of woman is a fairly trustworthy meas t ure of the civilization of a state and judged by this standard japan has not yet reached the summit of aa estem culture","s1049",0
"1900 10 27",27,22,"for some little time johnnie drove his car through imaginary towns up hills and across rivers","s6966",0
"1900 10 27",27,22,"japanese scientific mission a japanese scientific mission composed of some ten persons has arrived in para despatched at the suggestion of the tokyo cotton spinning association to study the prospect of the cultivation and development of that product in the amazon valley","s6983",0
"1900 10 27",15,22,"the poll tax is one of the earliest and crudest methods of raising taxes used by ancient and oppressive governments","s3557",0
"1901 02 02",23,17,"how the ford mind operates is shown by this story in an article by aaron hardy ulm in forbes magazine n","s6014",0
"1901 05 04",1,15,"he presented incidents where japanese have displaced white men and white women in employment in shops factories and the fields","s119",1
"1901 07 13",36,6,"over forty public bodies were notified of commissioner nolan s stand that such classifications are illegal in california and not one has failed to cooperate in preserving california standards and rules of fair competition in this regard the commissioner announced","s8291",0
"1901 07 13",9,31,"this is the man who declared boycotting was illegal and asked the supreme court to outlawtrade unions in the interests of law and order","s2168",0
"1901 08 03",48,5,"in spite of this fact attorneys for the plaintiff tried for a whole week in the sonoma county superior court to find some evidence which would convict them of contempt of court","s9866",0
"1901 08 03",20,5,"these officers had the power to determine whether the workers were entitled to the insurance and other benefits","s5346",0
"1902 02 22",33,7,"the aunt agreed with me and i asked her how she came to understand children so well and this was her answer i always try to put myself in the place of the child and then intensify the feeling","s8384",0
"1902 02 22",5,10,"the worker of brisbane australia says that as the whole of the chinese furniture trade bosses in melbourne conceded the demand for increased wages all their pig tailed employees resumed work","s1353",1
"1902 02 22",38,7,"it has instigated the organization of extralegal strikebreaking vigilante groups such as the flint alliance and the citizens league of anderson resulting in illegal violence against the unionists and denial of their rights of free speech and assemblage","s8568",0
"1902 02 22",7,2,"since i came a ship landed a thousand chinese laborers and thirty five prostitutes shipped to the masters here for whom they must slave in infamy","s2026",1
"1902 06 28",49,28,"gaffney assemblyman 26th district addressed the delegates and thanked them for their support in the past election","s10399",0
"1902 06 28",20,19,"nevertheless business has co operated with the government in a fine and patriotic spirit and has thereby gained greatly in governmental esteem and in the respect of the people at large","s5498",0
"1902 06 28",15,41,"casey did not explain to the audience how the unions came into possession of the documents but it is supposed that these are the records which are said to have disappeared from the office of the m m","s3723",0
"1902 08 02",3,29,"george holl 3004 mission st bat 2 th ft 27th sts bm oomplete took of uni tod worfetaamen s man shoes also ladles shoos buo by slobe shoo company and t o","s731",0
"1902 08 16",6,45,"what further information is contained in the returned papers may be summed up as follows the japanese are extremely clannish one gang having but little in common with other gangs except that they combine to get employment from the white laborer","s1811",1
"1902 08 16",25,5,"lundström hats are made to retain their form and snap for the season at least","s6382",0
"1902 09 13",1,15,"where the chinese have been competitors in boots and shoes cigars brooms and clothing in the latter industry lately depriving four thousand wives and daughters of exsoldiers of the work of making the uniforms worn by our soldiers in the philippines so are the japanese now coming forward as formidable competitors in furniture fancy goods crockery and restaurant and other lines of business and throughout our city can be seen the small cobbler shop in competition with the american shoemaker across the street ihey have even invaded the professional line an is evidenced by the signs of doctors and dentists even going into the occult sciences and foretelling the futnra","s152",1
"1902 09 13",10,33,"the executive board of the asiatic exclusion league met at its headquarters 815 metropolis building saturday august 7 and was called to order at 8 30 p m by the vice president the president being excused on account of absence from the city","s2360",0
"1902 09 13",11,2,"efforts to get the people to thinking abolit the church and labor as having vital relationship to each other","s2433",0
"1902 09 13",18,41,"secretary treasurer paul scharrenberg and president daniel murphy were both re elected bv the unanimous vote of the convention for another year report of committee on legislationthe members of the legislative committee to this session of the state federation of labor are of the opinion that the anti injunction bill presented by this body to the last session of the legislature by senator flaherty and receiving the endorsement of both houses of our state body should be again presented at the next session of the legislature and vour committee recommends that this action be concurred in","s4865",0
"1902 10 18",12,11,"tveitmoe believes that when the hills pass prohibiting this class of aliens from owning any land in california those who already have gained title to land will eventually dispose of it for the reason that without others coming in to join their ranks they would find it quite unprofitable","s2681",1
"1903 01 03",1,15,"dam at the metropolitan massmeeting may 7th we are assembled to night to discuss the japanese labor problem and its relation to american labor in california","s125",1
"1903 01 03",25,47,"new business in accordance with the request of the san francisco labor council president flaherty appointed the following committee to represent the building trades council of san francisco and to co operate with the labor council in making the arrangements for the theater party f","s6429",0
"1903 01 03",20,2260,"we will try to follow with a first aid course and still continue with our module programs","s11887",0
"1903 01 03",41,20,"nothing she said could induce her to run for anything or to accept an appointive office at any time for any reason 4 hat disposes of rumors that the tirst lady planned to run for congress against congressman hamilton fish new york republican representing the district in which the roosevelt hyde park home is located security against the inevitablecharles evans hughes who is now the distinguished chief justice of the united states once said this as a young man i realized that there was one way a man without capital could protect his family from the vicissitudes of fortune and make proper security against the day that comes tb us all that was through life insurance","s9266",0
"1903 01 03",41,20,"as surprising as it may seem on the average 24 500 people a day secure service in some form from the eighty five welfare organizations of the chest gret your next suit at roos bros","s9270",0
"1903 02 21",3,38,"the little more than 3 000 000 colonists rose in rebellion and gave tl e world that magnificent sentiment which will ring down through all the ages that all men are born free and equal and to each is vouchsafed the inalienable right to enjoy life liberty and the pursuit of happiness","s593",0
"1903 03 21",5,16,"after several months of agitation as to whether or hot it would be of benefit to the 450 members of the boston building laborers union to attach themselves to the international hod cariers and building laborers union and thus secure affiliation with the national structural building trades alliance and the american federation of labor it was decided by the union appointing a committee to secure a charter from the international union one hundred and ten colored waiters in memorial hall harvard s big eating house have threatened to strike and 1200 crimson students are wondering where they will feed themselves in case demands of alleged overworked negroes be not satisfied","s1423",0
"1903 05 30",10,33,"spiers who has spent considerable time in the southern part of california who had advised him of the inroads made by the japanese in that vicinity giving the names of several large firms which were controlled by japanese and operated by whites","s2370",0
"1903 06 27",20,33,"simons f the american alliance for labor and democracy i enine disconcerted his parlor proselytes when he frankly avowed his program of violent seizure of power by a minority and its maintenance through terror directed by a few autocrats presuming to speak lor the proletariat","s5561",0
"1903 08 08",49,8,"since that time he had been an active member of local no 22 serving as business representative for a while","s9932",0
"1903 08 08",27,49,"she ate large dishes of it whenever it appeared on the table and sundry fragments salvaged trom the kitchen after the table was cleared","s7264",0
"1903 08 08",43,27,"in the wealth of the wood since the world began the trees have offered their gifts to man henry van dyke drummond wrote two painters each painted a picture to illustrate his conception of rest","s9382",0
"1903 10 03",46,42,"union representatives who are experienced in civil service procedure see in the proposal an excellent opportunity to pass the buck if some future commission should take advantage of this omission and appoint three employees to do the work which is now being handled by","s9758",0
"1903 10 03",43,27,"tell them you want to buy war savings bonds regularly starting now get your next suit at roos bros","s9452",0
"1903 10 31",30,47,"now we are about to adjourn not to meet again until the result of our deliberations shall have culminated and i hope in one of the grandest processions that has ever marched the streets of this city","s7825",0
"1903 10 31",72,9,"this was true enven though the compliance officer explained that the fair labor standards act protects workers against such vengeful acts by employers","s11743",0
"1904 04 02",49,8,"the program adopted for the conference calls for the establishment of committees at the local state and national level to undertake the job of organizing trade union veterans in their fight on the law","s9962",0
"1904 04 02",32,34,"we further propose that a plan of stabilization of industry of economic planning of a thorough definite and accurate survey of economic needs and of the actual adjustment in working time reqiired in order to supply all with an opportunity to work be formulated and put into effect","s7370",0
"1904 04 02",3,4,"in our modern factory we manufacture complete outfits for ladies children and infants employing skilled white labor exclusively 918 922 market st","s634",1
"1904 04 02",18,12,"fifty per cent of the entire native american population of the pacific coast states has migrated from other sections of the country to make permanent homes here","s4634",0
"1904 04 02",74,9,"to not do so is to encourage eavesdropping and invasions of privacy about which so many people are so justifiably concerned concluded senator moscone there was a collective sigh of relief in the american labor camp on may 1 two and one half years after the federal government had instituted a system of wage and price controls which was intended to relieve an in flationary economy a relief that never came","s11798",0
"1904 04 02",18,12,"in 1910 a normal year prior to the later great rush new york had 580 000 alien immigrants and san francisco 3000","s4638",1
"1904 04 02",9,23,"in many respects the russian form of labor organization resembles that of the american unions of the early period of their development vladimir v","s2034",0
"1904 04 02",1,14,"the citizens of this coast must at once make a decided stand for the absolute exclusion of the chinese and japanese","s06",1
"1904 05 14",32,34,"labor council demands that the exclusion law apply to filipinosat the regular meeting of the san francisco labor council held august 14 the question of the present exclusion law was the subject of lengthy discussion owing to an article appearing in the christian science monitor which claimed tliat labor on the pacific coast had reversed itself regarding persons ineligible to citizenship of the united states","s8126",1
"1904 05 14",9,23,"poultry from texas for less than a cent and a half a pound beef from western ranges at less than a cent a pound","s2069",0
"1904 05 14",1,14,"japanese laborers are now flooding our shores at the rate of nearly i oth a week","s12",1
"1904 05 14",1,14,"the mass meeting to be held monday may 7 at the metropolitan temple is but the signal for a general anti asiatic crusade","s13",1
"1904 05 14",9,23,"that the officers of the chicago federation of labor be instructed to request the illinois state f ederation of labor to call a conference of the centra","s2083",0
"1904 05 14",74,9,"moscone has introduced legislation designed to prohibit the use of illegally seized evidence in state unemployment hearings","s11795",0
"1904 06 11",25,21,"bigger member of carpenters union no 316 of san jose a consistent aggressive trade unionist representative of the law abiding american citizenry of san jose was found to be elected by a handsome majority over the candidate of the industrial association which for three years past has been engaged in an illegal conspiracy against labor the public and the united states government","s5744",0
"1904 06 11",65,8,"the agreement with associated general contractors agc and engineering and general contractors association egca climaxed four weeks of spotty picketing","s11009",0
"1904 06 11",65,8,"subsistance allowances for work in areas defined in the contract go up to $7 a day this year $8 in 1966 and $9 in the third year","s11028",0
"1904 06 11",18,12,"t native well it used to be until j folks began cornin here for a rest ijjoston transcript shall the saloon control the labor movement","s4652",0
"1904 06 11",18,12,"mccarthy s report ordered sent to state legislature hotels in marysville were swamped when the delegates to the seventeenth annual convention of the state building trades council which is now in session at the hub city began to arrive last sunday afternoon","s4669",0
"1904 06 11",18,12,"to me there is nothing more impressive than these periodic convocations of the chosen representatives of labor","s4695",0
"1904 06 11",18,12,"in the last analysis labor is the ultimate producer of all wealth and labor clarion tongucd demands that her sons shall be paid a living wage","s4697",0
"1904 06 11",18,12,"we have clasped their honest palms and we have found them to be incomparable hosts","s4702",0
"1904 07 09",18,41,"as of june 30 1917 there was paid the sum of $537 783 49 for compensation and medical cost","s4851",0
"1904 07 09",47,7,"the remainder 166 concerned various other labor laws as follows child labor 52 private employment agencies 41 collective bargaining and anti kick back 16 weekly day of rest 15 sanitation and ventilation 9 misrepresentation 6 semi monthly pay day 5 all other 22","s9825",0
"1904 07 09",25,21,"elythe so called american plan branded as illegal by the federal courts was repudiated at the polls by the law abiding citizens of san jose at the municipal election held in that city last tuesday","s5741",0
"1904 07 09",30,49,"evans would nullify oregon s eight hour law applying to public work by the simple trick of ruling that when workers labor more than eight hours they are parties to an illegal contract and therefore can not collect for overtime","s7948",0
"1904 07 30",21,3,"and to raise the initiation fee for helpers in the kie con yard from $loo oo to $130 00","s11926",0
"1904 07 30",35,14,"the work is intended to save millions of acres of fertile land from being transformed into washes by the invasion of gullies bearing water streams which strip the soil","s8066",0
"1904 07 30",15,39,"we must remember that wisdom makes the countenance to shine intellectuality cuts and chisels the features so that the signs of sensuality and sloth are removed and that purity benevolence and unselfishness kindle an illuminating flame which adds glory to the plainest face","s3607",0
"1904 07 30",15,39,"this is the truth back of our child i hood maxim handsome is as hand i some does the people s home j journal","s3608",0
"1904 10 15",44,20,"tobriner submitting his bill in the amount of $250 00 for legal services rendered re united states of america vs","s9611",0
"1904 10 15",20,33,"the packers coal mine owners shoe makers clothing factories builders in fact every business puts up no such weak plea of continued loss in earnings they don t have to","s5559",0
"1904 10 15",24,37,"59 4 per cent of the families were native white and 25 per cent colored","s6262",1
"1904 10 15",29,9,"during the hearing before the blouse committee on immigration it developed that there are already in california approximately 1 000 000 mexicans the majority of them in the large cities like san francisco and los angeles that the majority of them are objects of public charity that 25 per cent of the white inmates of san quentin penitentiary are mexicans and that 25 per cent of all the crimes committed in california are committed by mexicans","s6827",1
"1904 10 15",30,11,"wide provisions the foregoing provisions must also apply to persons performing labor in the commissary or other auxiliary department of labor conducted in the course of the execution of such contract or any part thereof and the said provisions shall also apply to any work done for or by the city or any officer board or commission thereof when such work is to be done at the expense of the city or paid for out of moneys deposited in the treasury","s7557",0
"1904 11 05",15,39,"it imply resolves itself into the acts of the genuine friend who in a helpful spirit does all that she can to better the conditions of a family in which she is genuinely interested","s3634",0
"1904 11 05",66,2,"pr 5 6722 san francisco 94102 notary public maude woodmansee nash formerly with fairmont hotel 65 lick place between post sutter san francisco california phone yukon 6 4493 campaign advertising union dues buttons 177 minna street 362 1727 san francisco w i tty famous roman nopdle dish cooks in 3 minutes","s11138",0
"1904 11 12",33,3,"the list of delinquents posted by the local union secretaries is known as the slackers list","s8241",0
"1904 11 12",46,24,"employers who are found to be in violation of the wage stabilization act are subject to disallowance in computing their costs for income tax purposes of the entire illegal payroll and not merely the amount of the improper overpayment","s9951",0
"1905 01 07",58,10,"i recognize that as an employer representative it is quite unusual for me to be among those who are opposed to the right to work proposal he told the teamster lawyers","s10947",0
"1905 01 07",87,10,"this is the only time of year that you will be given the opportunity to change your present coverage to kaiser or union labor life of bay pacific plan","s12640",0
"1905 01 07",87,10,"have a great one ö $ 0 millmen s milestone angelo balistreri business representative frank mendibles asst","s12676",0
"1905 02 11",17,9,"all editorial or other reading matter published in any such newspaper magazine or periodical for the publication of which money or other valuable consideration is paid accepted or promised shall be plainly marked advertisement","s4189",0
"1905 02 11",19,4,"thompson continued i do not want to minimize the russian problem but americans are too prone to forget the trials and tribulations our nation suffered after we had established our independence","s5063",0
"1905 02 11",19,4,"i sincerely believe that russia is pointing the way to general peace just as she is pointing the way to great and sweeping world changes","s5094",0
"1905 02 18",30,43,"ilns the total amount of farm mortgage indebtedness in the united states on january 1 1928 was about $108 000 0 30 or about 1 per cent greater than on january 1 1925 the bureau of agriculture states new mexican penal code effective january 1the new mexican national penal code abolishing the death penalty for common crimes and substituting trial by committees made up of alienists and other experts for the jury system will become effective january 1","s7720",0
"1905 05 20",19,46,"there is only one acceptable finish to the war and that is the unconditional surrender of the teutonic powers so that war may be abolished for all time or that we may come as near that result as possible","s5237",0
"1905 06 24",19,46,"this veteran has a wound chevron on his sleeve and is quoted in a local newspaper there is one kind of news that roiles every soldier to know that some dastardly creatures are making great sums of money by illegally squeezing the government and the people at home for whom you are giving your life if necessary arouses a feeling that you can t describe except that you despise and hate these traitors as much as you despise and hate the hun","s5294",0
"1905 10 14",17,38,"this remarkable structure will be the new building now being erected for the southern pacific company in san francisco to pccupy an entire city block on market street from steuart street to spear street a distance of 215 feet on market street with a depth of 209 feet to the private street running parallel to market between it and mission street","s4265",0
"1905 10 14",17,38,"smart dress styles union stamped men s patent colt dress shoes new and very nobby black cloth tops latest shaped toes close edge soles military heels","s4336",0
"1905 12 02",52,11,"personal comment the stiff excise tax proposals are of course just a form of sales tax","s10513",0
"1905 12 02",41,20,"several families got together and have begun to clear up the littered playground behind the apartment and make it safe and pleasant for the children","s9259",0
"1906 02 03",15,39,"native of norway denmark or sweden lured by the charms of the garden of eden","s3596",0
"1906 02 03",21,3,"the comparison of a speed tennis shoe mechanic with a highly qualified fully trained journeyman with pride in his work is not only unfair but is breaking the conditions of the trade beyond that with which we can cope","s11952",0
"1906 02 03",25,52,"commonwealth college has nearly 100 students all of whom help to earn their way by working four hours daily in the colony s various enterprises","s6500",0
"1906 02 03",69,8,"the awards will be made at the regular meeting in september and incidentally they are sharp looking tv s","s11922",0
"1906 02 03",43,44,"auville assistant field director in the fiji islands now in washington to report to chairman davis revealed that the american troops have been enthusiastically received by the natives as well as the british residents","s9507",0
"1906 02 03",1,39,"f of l also assisting in adoption of constitution with president of the council and secretary of the cloakmakers union called on m","s306",0
"1906 02 03",16,13,"these have all however been recorded in the minutes of the local council are regularly published through our official paper organized labor much of the news matter has also been printed in the public press","s3841",0
"1906 02 03",16,13,"on february 18th the local council at its regular meeting adopted the following resolution whereas there is now pending in the state legislature a bill fixing the term of judges of the superior court at twelve years instead of six years but providing that said judges shall be elected by the people and whereas the term of the judges of the supreme court and of judges of the district court of appeal is twelve years and there is no reason why judges of the superior court should not be elected for a similar term and whereas it has been proposed to make the judges of the courts of california appointive and to deprive the people of the privilege of electing their own judges and whereas","s3858",0
"1906 02 03",16,13,"we believe that the people are fully capable of electing their own judges and that the system of an elective judiciary guarantees in a measure that the judges of our courts shall not become alien to the common people and representative of private or political interests and whereas we believe that the system of an elective judiciary is essential to preserve both the rights of the people and the freedom of the courts now therefore be it resolved that the building trades council of san francisco endorses and approves the bill providing the twelve year term for elective judges of the superior court subject to recall or impeachment and opposes any proposal by which the power of selecting judges shall be taken away from the people and placed in the hands of any official or group of officials","s3859",0
"1906 02 03",52,16,"jack reid of the department of public health and member of butchers 115 says support mattrocce newstat and o marie and show the health service board that we know that our friends in private employment and under union contracts are getting better medical benefits than we are","s10543",0
"1906 02 03",30,49,"the company has been quietly raising prices and the lower prices now widely heralded only offset these advances","s7921",0
"1906 02 03",30,49,"on this basis says barron s authoritative financial journal the public is little better off in purchases of ford product than in 1927 when business conditions were considered sufficiently sound to require no artificial stimulus from the ford price policy","s7922",0
"1906 02 03",14,52,"a gloomy mood as a rule is not conducive to the accomplishment of best results","s3261",0
"1906 03 10",4,28,"the respectable firms of merchants likewise rigidly excluded members of the fair sex refusing to employ them as saleswomen only in a few cheap bazaars where the work was very fatiguing and the pay utterly inadequate were women to be seen behind the counter","s1060",0
"1906 03 10",31,22,"there is no law that prevents their patrons from going to these stock gambling marts at any hour they desire","s7229",0
"1906 03 10",45,28,"grimmer evidence still were the stiffened bodies of dead american youths who advanced into the deadly fire of the defending nazis casualties during the first eleven days of the invasion amounted to more than 3 000 americans killed and more than 12 000 wounded","s9755",0
"1906 11 17",25,52,"but without adequate occupational disease compensation our state safety and health inspectors are deprived of their greatest aid in promoting industrial hygiene in the factories mines land workshops of america","s6479",0
"1906 11 17",14,52,"exclaimed the elderly english lady to her husband on her first visit to the united states","s3243",0
