date,volume,number,sentences,count,id,likely_pos,code
6/9/00,1,19,"if it is your intention to fight the japs, bear in mind that every cent of the proceeds of the cloak makers' picnic, sunday, june 17th, schuetzen park, san rafael, will go towards fighting the japs employed in the golden gate j cloak & suit house, 1230-1234 market i street, between jones and taylor, to a i finish.",58,s284,TRUE,1
4/29/05,6,14,had not america been equal to the emergency her story would already be as one that is told and her national character would have been submerged beneath an alien influence with which it could in no way mingle.,38,s1718,TRUE,0
6/27/42,43,26,"“present situation due to combination of japanese evacuation, army draft, drain of farm workers by industry, and sharply increased crop production pursuaut federal request.",24,s9628,TRUE,0
10/31/42,43,44,"for years captains of industry who cooperated with the japs have opposed american labor.when japan ravished china and launched the axis program ""destroy the democracies,” loyal americans inaugurated a secondary boycott against japs and jap goods.",37,s9666,TRUE,1
6/27/42,43,26,"under such a plan activities of farm placement division would condition total days worked and should be responsible for such division, rather than be asked bond and work guarantee by farmer, which would force return to definitely dangerous and undesirable private contracting for imported mexicans.",45,s9634,TRUE,1
4/29/05,6,14,"it will be well for us to choose now the line of least resistance, to determine now and forever whether this state and this country are to be american or whether they are to be asiatic, whether they are to continue under the sway of american thought and aspiration or w-hether they are to become a seminary, an abiding place and an inheritance for the oriental peoples.",68,s1699,TRUE,1
3/10/06,7,7,"at a gathering in the city of fresno, held february 22, 1906, 2,000 printed i protests were distributed among representatives from all parts of the state, with an urgent request that the same be forwarded to congress, with a view of defeating any modifications of the chinese exclusion act.",50,s2071,TRUE,1
5/11/70,69,27,"those enjoying these great gains today, as the banks, will resist all change until there is a great opposing public clamor.health planning bodies would hold public hearings on fee hike bidsstate legislation to bring hospitals and other health care institutions under greater public regulation and scrutiny is being backed by the california council for health plan alternatives and its affiliated unions with a membership of more than 2 million.",70,s11772,TRUE,0
10/6/45,46,40,"the native daughters, assisted by jack holland and the california mandolin club, presented a lovely musical skit. 1 i 1 a contract was awarded thé colusa construction company for the $56,000 neuman and levinson building, to be erected at the corner of stockton and geary streets.s.",48,s10410,TRUE,1
1/15/16,17,3,"boyle, auditor.declares breaking ball contracts neither illegal nor immoralthe baseball player who breaks the usual type of contract with one baseball club and plays under the colors of another is acting neither illegally nor immorally—such is the doctrine set forth by barry gilbert.",45,s4498,TRUE,0
4/29/05,6,14,any japanese who finds employment anywhere within the united states has found that employment at the expense of an american laborer and the american nation is thereby and to that extent the poorer.,33,s1826,TRUE,1
4/29/05,6,14,"we may therefore safely assume that the number of japanese now in california is at least 35,000, and this is still without an estimate of the japanese who landed at puget sound and other ports on the northerly coast and many of whom reach california overland.",47,s1750,TRUE,1
4/29/05,6,14,"there are, however, some additional sidelights that may be advantageously thrown upon the general extent of japanese immigration and the plans for conquest that are fomenting in the minds ol those who are interested in the colonization of these asiatic pilgrims.",41,s1766,TRUE,1
4/29/05,6,14,"now here in california no one will think of throwing stones at the japanese, nor of jostling them upon the streets.",21,s1848,TRUE,0
4/16/04,5,12,"of course dangerous criminals, and those that are beyond the redeeming power of mercy must be treated in such a manner that they will not be a menace to the organization and by their bad example induce other weak characters to violate the rules.",44,s1574,TRUE,0
4/29/05,6,14,"california stands to-day as an open door for japan and for asia, and when those portals have been passed, the road to the asiatic is unbarred.",27,s1706,TRUE,1
6/19/09,10,25,the situation growing out of the indictment by the grand jury of seventeen leaders in the strike of the japanese plantation laborers is given an international turn when m.,29,s2367,TRUE,1
4/22/44,45,17,the following individuals who have been discharged or released from active duty are excluded from the benefits under the act: 1.,21,s10170,TRUE,0
6/2/00,1,18,"senator perkins answers mass meeting resolutions on chinese and japanese, enclosing long report from commissioner of immigration powderly on japanese immigration; filed.",22,s154,TRUE,1
9/29/00,1,35,"total number of chinese persons arriving at this port in 1899... .4,254 arrivals, january ist to september 30th, 1899 2,853 j arrivals, january ist to date, 1900.2,647 ■ decrease in arrivals for 1900 206 j arrivals in july, august and september, 1899 1,427 arrivals in july, august and september, 1900 513 j decrease in arrivals, above three months 914 i total admitted january ist to september ist, 1899 2,257 total admitted january ist to september ist, 1900 1,977 decrease in number admitted first eight months in 1900 280 total denied to september ist, 1899 247 total denied to september ist, 1900 670 increase in number denied landing in first eight months, 1900..",118,s486,TRUE,1
3/10/06,7,7,"therefore, we are compelled to infer—indeed, we are given plainly to understand—that the existing troubles in china, and whatever results may flow therefrom, are due to the action of the united states government and the american people in declaring for the exclusion of chinese.",46,s2094,TRUE,1
8/15/36,37,33,"now, although an employer influenced union is illegal under the national labor relations act, most of them still survive.”",19,s8774,TRUE,0
4/29/05,6,14,there could be no worse preparation for them than the apathy with which we now permit the far more undesirable surplusage of asia to make a happy hunt-ing-ground of the choicest and richest state within the union.,39,s1821,TRUE,0
10/2/43,44,40,"they also functioned as a salvage unit, the navy announcement said, saving approximately 100 of the small invasion craft that had been battered during the hard-fought invasion.british strikes exceed america’s!",33,s9920,TRUE,0
4/29/05,6,14,"america, and especially california, has now to show whether the manifest resistance to one danger is to be followed by passive submission to another, and whether the forces that so successfully stemmed the invasion of the chinese are to be helpless and quiescent in front of the far more serious and more formidable problem of an influx of japanese.",59,s1722,TRUE,1
3/10/06,7,7,"deliverywagon drivers get £2 2s. for driving one horse and £2 6s. for two horses, their working hours not to exceed 47}4 per week, exclusive of meal hours and time attending upon horses.minutes of the japanese and un exclusion league.unity hall, 927 mission street.",47,s2056,TRUE,0
10/2/43,44,40,"here is the story, as disclosed by the navy department:landing with the initial invasion forces, the seabees were approaching the sicilian shore when they performed the rescue job.",29,s9914,TRUE,0
3/21/03,4,8,"another will leave at 8:00 a. m., furnishing solid trains through to shellville, vineyard, sonoma, verano, agua caliente, and glen ellen, and to all points on the guerneville branch.",30,s1201,TRUE,0
11/12/21,22,46,in tasmania an alien subject of a friendly state may occupy lands for tenure not to exceed twenty-one years.,20,s5788,TRUE,1
4/29/05,6,14,"here, at any rate, the peril had become something of an activity, here at least was a foretaste of what might happen on a vast and irresistible scale should the fountains of asiatic life brim over.",36,s1715,TRUE,1
5/9/36,37,19,it has taken the place of almost every other distasteful word with which men branded the undesirable individual.,18,s8718,TRUE,0
3/17/17,18,11,"“unless their object is illegal, outsiders, unions, or individuals may agree to and may help them.",16,s4819,TRUE,0
7/16/27,28,29,"but this is done in a court of record, not in a secret cell, and at least the accused man is not kicked in the stomach or threatened with chinese tortures.",31,s6942,TRUE,0
12/16/39,40,50,f. of l. employees and their union with the illegal breaking of the contract and serve such an amendment upon some of them or their union.,26,s9236,TRUE,0
5/16/60,60,3,"on may 1, 1961, similar wage increases will become effective under the three-year contractkansas city resolutionthe city council in kansas city, mo., has unanimously passed a resolution asking congress to raise the minimum wage to $1.25 an hour and extend coverage to 7.6 million more workers.compliments native son florist holy cross cemetery p.o.",58,s11213,TRUE,0
4/29/05,6,14,"the japanese invasion has been watched from europe with a very intelligent interest, and by men who have made it almost the business of their lives to note and to measure the ebb and flow of nations, their slumber and their awakening.",42,s1829,TRUE,1
4/29/05,6,14,"japanese cheap labor has already caused ""trouble in the western world”; it has already brought about “a reduction in the wages of labor,” and what it has already done in those directions is as nothing to what it will do when the preliminary drop* of rain have been succeeded by the steady downpour.",53,s1832,TRUE,1
6/26/15,16,26,"when the court declared the law constitutional, work was stopped in the subways and canal construction because alien laborers had been employed in such preponderant proportions.",26,s4371,TRUE,1
4/29/05,6,14,"that particular aspect of the peril seems now to have passed and the doors of chinese exclusion have been closed, although not without the abiding presence in our midst of a social sore which may at least serve as a painful reminder of the living death that was avoided.",49,s1719,TRUE,1
2/26/44,45,9,"1041 market street bonds today homes tomorrow inquire about the treasure house ...an installment savings plan whose goal is the down payment on a home the san francisco bank savings trust incorporated february 10, 1868 • member federal deposit insurance corporation seven offices—each a complete bankcjargrsl jtu'tleri s-» t 1 executive omces and factory 2590 mission street grant avenue at geary mission at twentieth broadway and nineteenth streets in oaklanddelivered direct for freshneti (swells national cresi (offee ia* numcßco • 40n« mm oakland • 10» patronize the advertisers in this paperu back the invasion” with war bonds # % ihoi^ 4t ttc listen to budda's amateur hour every saturday 8 p.",109,s10138,TRUE,0
6/5/43,44,23,"that is the alternative to capitalism.time to quit kiddingin spite of the apparent success of the last war bond drive, the ominous fact remains that of the billions of dollars worth of bonds sold only a small proportion went to individuals.",42,s9888,TRUE,0
4/29/05,6,14,metin tells us that the boycott is so well understood in japan that an unpopular american or european would be unable to find a single workman or a single servant.now let those who speak much of the economic lnoffenslvenem of the japanese be warned in time and become wise.,50,s1837,TRUE,1
4/29/05,6,14,"the japanese government will, *ol course, do what it can, but who car question that thousands upon thousands of these men who have been wrenched by war from the grooves inorganized labor,—saturday,—april 29, 1905.5",37,s1875,TRUE,1
9/29/00,1,35,"from pittsburg, pa., comes the news that the american steel sheet company and the republic iron and steel company have reached an agreement whereby the latter withdraws from the sheet steel business and a number of mills will be clased down and dismantled.committee commends chief dunn.to the honorable, the building trades council of the city and county of san francisco, state of california — gentlemen. —your committee to whom was referred the matter of investigating and reporting upon the work of the chinese bureau of the united states government at this port, begs leave to report as follows: we visited the offices of said bureau, where, in the absence, due to illness, of the collector of the port, the inspector in charge assumed the responsibility of permitting full and free access to the records and documents on file.",139,s479,TRUE,0
3/20/26,27,12,"it should be borne in mind that the national authorities and the ablest statesmen, as well as the leading citizens of mexico, are sincerely desirous that mexicans shall remain in mexico. 1 hey realize that if the mexican working people continue to abandon their lands and their homes to become migratory menial laborers and servants in the united states, there will pour into mexico to replace them such a horde of chinese and japanese as will seriously demoralize that republic.",80,s6709,TRUE,1
4/29/05,6,14,"we do not at all doubt it, nor do we doubt that these 3500 japanese will certainly come to ban francisco so long as the evasion o?",27,s1780,TRUE,1
10/7/39,40,40,"department of labor: our immigration laws permit the entry into this country of 153,774 aliens each year.",18,s9051,TRUE,1
3/10/06,7,7,"our government is now being called upon, not only to defend the lives and property of the missionary element in china, but to practically compel the chinese people to accept the teachings of these missionaries, whether they will or no.",40,s2105,TRUE,0
10/16/43,44,42,"inner mongolia, also occupied by the japanese, has become the center of chinese opium production and its capital, kalgan, is the world’s chief distribution center for narcotics.",28,s10009,TRUE,0
2/13/04,5,3,"charge—that the said named members did violate sections one and three of article 40, by holding an illegal meeting against the demands of the regularly elected president, harry f.",30,s1502,TRUE,0
6/18/10,11,25,"business agent macdonald called particular attention to'ten japanese who are working as carpenters at 1433 fillmore street, and asked all delegates to warn their members to keep away from these premises.",32,s2611,TRUE,1
2/1/13,14,5,"they enjoy the right to force one of their members to refuse to grant a demand for higher wages or some other of the terms of labor which he is willing to grant to his workmen because a majority of his fellow manufacturers are opposed to the workmen’s demands: but when under any circumstances the trade unionists exercise their equivalent right they are not only promptly accused of illegal coercion, but are attacked with the writ of injunction and their members sentenced to jail without a trial by jury.",90,s3543,TRUE,0
4/29/05,6,14,the marquis ito—and his name will bo rightly revered as that of a great and enlightened statesman—attributed the foreign outbreak to the success of japanese arms.,28,s1865,TRUE,0
4/29/05,6,14,"the japanese in california is just as intensely, eternally and essentially japanese as though he had never left yokohama or the rice fields of his native country.",27,s1806,TRUE,1
4/29/05,6,14,another indication of the present trend is afforded by a japanese newspaper published in hawaii.,15,s1778,TRUE,0
3/20/26,27,12,"yet in san diegq, los angeles, long beach, santa barbara and other counties aliens are employed on public work, to the exclusion of the resident taxpayer.",26,s6731,TRUE,1
2/22/71,69,22,"a measure of their alienation may be seen in the wallace movement of 1968, which made its greatest inroads among young voters aged - twenty-one to twentynine.",27,s11886,TRUE,0
7/11/08,9,28,"it has been urged that we should deport all anarchists to some island, where they could vent their murderous instincts upon themselves.",22,s2202,TRUE,0
10/25/02,3,39,"any toiler who, possessed of the knowledge that he can be partially the means by which the union cigarmaker and his family may have a comfortable living, a pleasant home and a little of life’s happiness, deliberately smokes a chinese or eastern scab cigar is guilty of the grossest heartlessness and cruelty, and through his selfish indifference to the welfare of his brother toiler is unworthy of the respect or consideration of his fellow-men, as an ulcer on labor’s cause and a sc b at heart.",89,s1128,TRUE,1
4/29/05,6,14,"japanese immigration is a danger to american institutions, not' because it is japanese, but because it is immigration, and the very characteristics that are an adornment to the japanese in his own country may become a disfigurement and a peril to a country to which the japanese does not rightly belong and from which he is essentially removed by an abyss of tradition, of custom and of sentiment.",68,s1728,TRUE,1
4/29/05,6,14,"wo have, however, now to remember that the panama canal will place california within almost as easy reach of the european immigrant as new york now is, and we may then expect to have the double burden of european as well as of an asiatic influx.",46,s1813,TRUE,1
7/12/30,31,28,"pinos are ""reliable,” says oregon bankerportland, ore. —a local banker is backing the colonization of filipinos on columbia county truck farms.",21,s7863,TRUE,1
3/24/23,24,12,"“along with the great and varied racial problems facing the people of this state, there has now arrived that of the greater menace—the coolie jap,” says the arizona labor journal.",31,s6231,TRUE,1
4/2/10,11,14,"fowler presented the following resolution, which was carried unanimously: “be it uesolved, that the asiatic exclusion league demand not only the passive acquiescence of candidates for office to its general principles, but active and conscientious support to all measures tending to bring this important question before the public, either in the state legislature or elsewhere.”",55,s2515,TRUE,1
5/29/26,27,22,"this committee, chairman lichtenberger states, will meet at an early date to formulate*a comprehensive forestry, fire prevention and tree planting program for the native sons parlors throughout california.improve telephone servicein order to care for an increasing’ demand for telephone service along octavia street south of mcallister where increased building activity is taking place, the pacific telephone and lelegraph company will begin about june 1 to increase service facilities in this locality, according to district manager i'.",78,s6798,TRUE,1
6/19/09,10,25,"evidence of what the authorities claim is a concerted move on the part of the japanese of the hawaiian group to control the sugar industry and thus dominate the internal affairs of the islands through their number and power, is disclosed, when the office of the jiji. a japanese news- \ paper of honolulu, and the offices of the japanese higher wage associai tion are entered by officers armed ■ with search warrants, and letters, reports and other documents seized.",78,s2347,TRUE,1
10/16/43,44,42,and even some of them are not on their toes.i tell you frankly that labor-management cooperation through production committees in war industry and labor-management community committees on any important war project offer the one outstanding alternative to a degree of regimentation which neither you nor management would find very acceptable nor which the administrative heads of war agencies have any desire to undertake.,66,s10001,TRUE,0
4/29/05,6,14,"ten years later the japanese advance guard made their appearance, and the year 1890 showed the presence of 1147 japanese within the state.",23,s1740,TRUE,1
1/15/16,17,3,"chase the court declared the “national agreement,” while not within the sherman anti-trust law, a monopoly in contravention of the common law, and therefore illegal.",26,s4510,TRUE,0
12/14/01,2,46,"theatrical employes’ union, meets at native sons’ hall on ist thursday of each month united metalworkers’ local union, no. 18, meets every friday evening, at 117 turk st.",28,s948,TRUE,0
4/29/05,6,14,we intend to show how the communal life that should be purely american is being slowly saturated with alien influences with which that communal life should have neither part nor lot and that a process so insiduous and so contrary to nature has already been attended by a deterioration and by a misery that do but presage the greater ruin that must surely come.,64,s1702,TRUE,1
9/29/00,1,35,"steamers arriving during the past three months have brought but thirtyfive per cent, as many chinese as in the corresponding period of last year.",24,s488,TRUE,1
6/26/15,16,26,"the representatives of the organizations of the various trades employable on the construction of public works declared that they were ready at any time to supply a full quota of workmen, native americans or american citizens, who are now unemployed.",40,s4373,TRUE,1
7/16/27,28,29,they have been bequeathed to us by those valient tradeunionists whom we all love and revere.,16,s6952,TRUE,0
9/24/10,11,39,"from asiatic exclusion league, urging upon the members to attend the regular monthly meeting of the league at the temple on sunday, september 18, at 2:30 p. m.; received, invitation accepted, and delegates instructed to attend.",37,s2704,TRUE,1
4/29/05,6,14,"no doubt the japanese could be taught, and probably have been taught, not to throw stones at foreigners, at least at americans, and to refrain from jostling them upon the streets.",31,s1860,TRUE,1
3/10/06,7,7,"it appears from the general sources of public information that i national government is now preparing to take aggressive measures in i china, by the use f the military power against those persons and classes i presumed to be responsible for the hostile sentiment reported as existingtoward missionaries and merchants claiming allegiance to, and protection of, the united states; and ""whereas, it is alleged in certain quarters that the reported hostility of the chinese toward americans and american interests is attributable to displeasure with the chinese exclusion act, and the consequent attempt to force the united states government to repeal or modify that law; therefore be it ""resolved, by the japanese and korean exclusion league, that, while we commend the use by our government of every proper and necessary means to uphold the dignity of the united states and to protect the persons and property of united states citizens in china or other country, we deprecate the apparent assumption that force may be used to suppress dissatisfaction on the part of the chinese on account of any grievance, real or imaginary, which the latter may entertain against the united states; further “resolved, that, in the opinion of this league, the charge that the alleged hostile state of public feeling in china is due to displeasure with the chinese exclusion act, is largely an invention of certain interests desirous of exploiting the labor, both of china and of the united states, which interests are therefore inimical to the welfare of both countries; further “resolved, that in its attitude toward china, the united states should be governed by proper respect for the rights of that nation, particularly, the right to trade with, or refuse to trade with, the united states for any reason sufficient to itself, and the right to receive or reject, to admit or expel, the teachers of any religion or creed; further ""resolved, that, in commending the adoption and maintenance of a firm and strong policy on the part of the united states government toward china, we are convinced that such policy must depend for its success, first, upon the determination of the former to adopt and execute such measures, legal or otherwise, as may by it be deemed necessary for its own welfare and that of the american people, and, secondly, upon a full and frank recognition of the right of china to prosecute the same course in its own behalf.”",403,s2086,TRUE,0
3/24/23,24,12,the jap quickly graduates from the labor ranks.” that some land owners have joined the jap-loving santa fe railroad is indicated by a bill introduced in the state legislature by representative ormc to repeal the arizona anti-alien land law.,41,s6234,TRUE,1
9/29/00,1,35,"the result of the work of the chinese bureau under its present chief is best j shown by the following statistics of arrival of chinese, and the admission and denial of their applications: chinese bureau, sept. 25th, 1900.",38,s485,TRUE,1
4/29/05,6,14,"with diseased bodies and depraved minds, these adult coolies have been taken into the white families as servants and given places in the public schools alongside white children.",28,s1688,TRUE,1
12/16/39,40,50,"union or any of its members as parties defending their contract, proof of illegality is as meaingless to cause us to invalidate the contract as an argument that with a record showing neither apprehension nor plea of an accused we should sustain a judgment of his conviction because the record contains and uncontradicted evidence of guilt.""",56,s9242,TRUE,0
8/24/01,2,30,"martin stadier, native of buerglen, j canton uri, switzerland, age 41, and at ; present working at the six-mile dairy; and dominik elmiger, native of dagraer sellen, canton luzern, switzerland, age 21, and at present employed at the san bruno ranch, were admitted to membership, a committee was appointed to visit several dairies and have the proprietors informed that hereafter no union milker would work with a non-union man, an;} that only members in good standing of the milkers’ union of san francisco, sacramento and los angeles would be recognized as members of unions, and that they must have their regular quarterly card, and every milker must take notice to that effect.",113,s795,TRUE,0
4/29/05,6,14,"saiki has already sent many thousands of japanese to hawaii, a place that we may now recognize as a half-way house to california, an< he says: ""i am on my way to florida where i intend to take up 6000 acres ol land.",44,s1768,TRUE,1
4/29/05,6,14,"the asiatic can never be other than an asiatic, however much he may imitate the dress of the white man, learn his language and spend his wages for him.",29,s1804,TRUE,1
4/29/05,6,14,"in the report of the attorneygeneral of the united states for 1903 we find some estimate of the japanese invasion, and general considerations thereon furnished by special examiner c.",29,s1753,TRUE,1
4/29/05,6,14,"we have seen that in the year 1900 there were over 10,000 japanese within the state; that between the years 1900 and 1904 over 8000 arrived from foreign ports, and that within the past two years over 7000 have arrived from hawaii, and these figures alone make a total of over 25,000, while we are entirely without the statistics of arrivals from hawaiian ports for 1901 and 1902, and from canada for the year 1903.",77,s1749,TRUE,1
4/29/05,6,14,these matters have been set forth so plainly that the legislatures of both california and nevada have adopted resolutions calling upon the national congress and the united states officials to take such steps as will put a stop to the unrestricted immigration of japanese.,44,s1693,TRUE,1
6/5/43,44,23,"federal authorities have promised speedy action in all such cases.alternative to capitalismin condemning “some post-war planners in positions of power’’ who urge that the united states follow the leadership of germany by planning to have the government provide jobs for everyone after the war, eric a.",48,s9879,TRUE,0
3/20/26,27,12,"your duty to the trade union movement, and your still greater duty to your republic, make it imperative that you give this matter your earnest consideration and formulate some decisive plan that will effectually restrict this mexican invasion which is a menace not only to the unsuspecting immigrant but also to the living standards of the citizens of our state and our nation.",63,s6721,TRUE,1
4/29/05,6,14,in a recent number of the review of reviews we find an able sketch of japanese character that bears upon this very point.,23,s1841,TRUE,0
4/29/05,6,14,"would their presence be tolerated in industrial japan for one little moment after they had outlived their usefulness, for one little instant after the japanese themselves were competent to undertake the work?",32,s1863,TRUE,1
4/29/05,6,14,"the chaotic sentiments of former months have now crystallized, and this article is designed to put before the country in concrete form the arguments presented, the steps which have been taken and necessity for united work against the incoming hordes of asiatics, who are threatening the very stability of the commonwealth.our open doorfrom the ""san francisco chronicle,"" february 23, 1905.",61,s1695,TRUE,1
10/16/43,44,42,"you have a major interest in accomplishing it because additional tens of thousands of your members will be wearing the uniform of our fighting forces or of our soldiers of production for the duration and all of us hope that by their efforts we can hasten the day when thev can return to building and construction work in refurnishing the homes and industries of our nation and of the world-for the pursuit of peace and happiness.japanese use opium to poison chinese in occupied areaswith the two-fold purpose of securing revenue and of undermining the health and vigor of the chinese people, the japanese have begun the mass production of opium in occupied chinese territories and are making the deadly opium derivatives, heroin and morphine, available at prices within the reach of the poorest chinese coolies, according to the far eastern quarterly.",144,s10007,TRUE,1
10/31/42,43,44,proposition no. 1 is advocated by california industrialists • who sold war materials to the japs.,15,s9671,TRUE,0
6/26/15,16,26,"however, those who profit by paying low wages to aliens, thereby exploiting both american and immigrant workers, have tried to create the impression that the discharge of alien laborers obstructed work on the subways, and thereby increased the already grave conditions of unemployment.",43,s4369,TRUE,1
3/2/46,47,9,"turner replied, “first: competition with autos that get in the way of public transit, and i submit pictures to prove that automobiles impede street car transit by stalling on tracks, illegally taking the right of way. illegal parking, double parking, running on car tracks, weaving and a number of other causes.",51,s10542,TRUE,0
4/29/05,6,14,"we may, however, safely assume that washington and the states north of california contain nearly is many japanese as does california itself, and the asiatic immigration problem is therefore as acute there as it is here.",36,s1752,TRUE,1
3/20/26,27,12,"the anxiety regarding the welfare of chinese evinced by certain members of congress, who seem absolutely unconcerned regarding the welfare of american men, women and children, should be inquired into.",30,s6723,TRUE,1
3/20/26,27,12,"your attention is called to the astounding report that a bill has been introduced in congress, the purpose of which is to weaken the chinese exclusion law by permitting chinese women to enter the united states under the pretext that they are to become the wives of chinamen born in this country.",52,s6722,TRUE,1
4/29/05,6,14,white men resident in japan taught to the japanese much of the handicrafts of civilization which they now possess.,19,s1862,TRUE,0
11/10/28,29,45,the westerner stated that if japanese were put on a quota basis “the quota can be tampered with.”,18,s7516,TRUE,1
7/30/32,33,31,"jobs in the immediate future are necessary to prevent widespread hunger and starvation.—william green.lawless bankers looted public of billions, senator glass chargessensational charges that bankers had looted the public of billions of dollars through illegal methods and wdth the connivance of government officials were made in the senate last month by senator carter glass of virginia-.",58,s8284,TRUE,0
6/19/09,10,25,in proof of this i will cite a few facts: a few years ago the socialist party was in favor of asiatic exclusion —- now the socialist party is supposed to be opposed to japanese exclusion.,35,s2393,TRUE,1
4/29/05,6,14,"the numbers of japanese in the united states at large is, of course, still more conjectural.",16,s1751,TRUE,1
4/29/05,6,14,it is noteworthy that this enormous japanese invasion has been accompanied by a diminution in chinese immigration.,17,s1757,TRUE,1
11/10/28,29,45,the night will be devoted to fireworks and a concert.japs entry opposed; quota law is upheldwashington.—the house of deputies of the episcopal church refused to concur with the flouse of bishops in a resolution calling for modification of the immigration laws affecting orientals.,45,s7511,TRUE,1
4/29/05,6,14,"asiatic immigration is a question rather for the inarticulate masses than for the chosen few, for the workman rather than for the employer, and the voice of protest needs, therefore, a concentration and a direction that it now somewhat lacks.",40,s1734,TRUE,1
4/29/05,6,14,"when the german emperor directed his kaleidoscopic genius into the domain of art and pictorially represented to a delighted world his views upon the asiatic peril, his efforts were generally received as a fresh vagary of the imperial mind.",39,s1708,TRUE,1
11/10/28,29,45,"while the proposal only referred to admission of japanese, other oriental peoples would raise the cry of “discrimination” if they were not admitted.",23,s7517,TRUE,1
2/1/13,14,5,"many of our courts and a majority of employers hold that the secondary strike—that is, the strike of workmen in sympathy with others —is illegal, but these same men also hold that the employer is free to discharge any one or any number of workmen, and in addition maintain a blacklist for his personal use.",56,s3534,TRUE,0
6/30/58,57,31,would outlaw the union shop j and make illegal 89 percent of ; all labor-management contracts in the state.,19,s11063,TRUE,0
4/29/05,6,14,"tho problem of asiatic immigration which california confronts to day must presently become the proolem of all the states in the union, and the voice of california is therefore that of a sentinel, somewhat somnolent at the moment, but a voice that is nevertheless faithful, and that ought not to be neglected.",52,s1737,TRUE,1
3/27/43,44,13,japanese military might must be decimated as a fighting force before its threat to civilization is removed. —mme.,18,s9746,TRUE,0
4/29/05,6,14,"this newspaper rejoices in the name of the shimpo, and so recent an issue as june, 1904, informs us that at that time 8500 japanese ""want to come to san francisco.""",31,s1779,TRUE,1
8/16/24,25,33,"the japanese government is contributing one-half of the thirty million yen ($15,000,000) capital of the new co-operative bank.",22,s6521,TRUE,0
1/6/40,41,1,it is heightened when a red cross chapter volunteer in some remote midwestern city of this country knits a sweater for some polish child huddled in a refugee camp beyond the frontier of his native land.,36,s9284,TRUE,0
4/29/05,6,14,of one thing we may be assured—japanese employers would unite with their own people and would scorn a pitiful addition to their own profits that had been purchased by the sufferings of their own people.,36,s1846,TRUE,1
8/12/63,63,9,"“the days of sweeping citylegal battle looms over civil service electionthree weeks before the election last may 15, leo sheehan told the executive board of the civil service association of city employees that its pre-election policy was illegal.",39,s11563,TRUE,0
11/28/14,15,48,"i have excluded prejudices, and formulated my ideas; and i desire to know if the majority of the comrades agree or disagree with me.",24,s4029,TRUE,0
4/29/05,6,14,the similarity of the danger to our national institutions that is afforded by chinese and japanese immigration implies no imagined similarity whatever between the chinese and japanese races.,28,s1723,TRUE,1
3/17/17,18,11,"it is stated that united states, english, holland and norwegian ships are leaving ports of this country manned by lascars and chinese.",22,s4834,TRUE,0
